,id,name,category_id,arabic_name
5751,326458,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",11.0,الجزر ، المجمدة ، غير مستعد (يشمل الأطعمة لبرنامج توزيع الأغذية في وزارة الزراعة الأمريكية)
5991,326698,"Mustard, prepared, yellow",2.0,الخردل ، أعدت ، أصفر
6198,326905,"Figs, dried, uncooked",9.0,التين ، جاف ، غير مطبوخ
6339,327046,"Kiwifruit, green, raw",9.0,Kiwifruit ، الأخضر ، الخام
6491,327198,"Melons, cantaloupe, raw",9.0,البطيخ ، الشمام ، الخام
6650,327357,"Nectarines, raw",9.0,النكتارين ، الخام
6794,327501,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",9.0,البرتقال ، الخام ، البحرية (تشمل الأطعمة لبرنامج توزيع الأغذية في وزارة الزراعة الأمريكية)
6992,327699,"Strawberries, raw",9.0,الفراولة ، الخام
7216,327923,"Lettuce, cos or romaine, raw",11.0,الخس ، كوس أو رومين ، الخام
7930,328637,"Cheese, cheddar",1.0,الجبن ، شيدر
8134,328841,"Cheese, cottage, lowfat, 2% milkfat",1.0,الجبن ، الكوخ ، lowfat ، 2 ٪ milkfat
8663,329370,"Cheese, mozzarella, low moisture, part-skim",1.0,الجبن ، موزاريلا ، رطوبة منخفضة ، جزء من التزلج
8783,329490,"Egg, whole, dried",1.0,البيض ، كله ، جاف
8889,329596,"Egg, yolk, raw, frozen, pasteurized",1.0,البيض ، صفار الصفار ، الخام ، المجمدة ، البستري
9009,329716,"Egg, yolk, dried",1.0,البيض ، صفار البيض ، جاف
9123,329830,"Cheese, dry white, queso seco",1.0,الجبن ، أبيض جاف ، queso seco
9430,330137,"Yogurt, Greek, plain, nonfat",1.0,الزبادي ، اليونانية ، عادي ، غير دسم
9708,330415,"Yogurt, Greek, strawberry, nonfat",1.0,الزبادي ، اليونانية ، الفراولة ، nonfat
9751,330458,"Oil, coconut",4.0,زيت ، جوز الهند
10162,330869,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",5.0,تركيا ، الأرض ، 93 ٪ العجاف ، 7 ٪ من الدهون ، انهار المسلسل عموم
11190,331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",5.0,الدجاج ، الدجاج أو المقلي ، طبل ، اللحوم فقط ، مطهو ، مطهو
11253,331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",5.0,الدجاج ، اللاحم أو المقلي ، الثدي ، بلا بشرة ، عظم ، اللحم فقط ، مطهو ، مطهو
11575,332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve",6.0,الصلصة ، المعكرونة ، السباغيتي/مارينارا ، جاهزة للخدمة
11690,332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",7.0,لحم الخنزير ، شرائح ، معبأة مسبقًا ، لحوم لذيذة (96 ٪ خالية من الدهون ، وأضاف الماء)
11890,332597,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",9.0,الكمثرى ، الخام ، بارتليت (يشمل الأطعمة لبرنامج توزيع الأغذية في وزارة الزراعة الأمريكية)
12084,332791,"Olives, green, Manzanilla, stuffed with pimiento",9.0,الزيتون ، الأخضر ، مانزانيلا ، محشوة بيمينتو
12157,332864,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",7.0,النقانق ، لحم الخنزير ، chorizo ​​، رابط أو الأرض ، مطبوخة ، مقلية
12301,333008,"Cookies, oatmeal, soft, with raisins",18.0,ملفات تعريف الارتباط ، دقيق الشوفان ، ناعم ، مع الزبيب
12574,333281,"Tomatoes, canned, red, ripe, diced",11.0,الطماطم ، المعلبة ، الأحمر ، الناضجة ، مكثفة
12667,333374,"Fish, haddock, raw",15.0,الأسماك ، Haddock ، الخام
12769,333476,"Fish, pollock, raw",15.0,الأسماك ، بولوك ، الخام
13487,334194,"Fish, tuna, light, canned in water, drained solids",15.0,الأسماك ، التونة ، الضوء ، المعلبة في الماء ، المواد الصلبة المستنزفة
13540,334247,"Sugars, granulated",19.0,السكريات ، حبيبات
14142,334849,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",13.0,"لحوم البقر ، loin ، شريحة لحم loin العلوية ، بلا عظم ، شفة على الشفاه ، قابلة للفصل فقط ، مقطوعة إلى 1/8 ""الدهون ، الاختيار ، الخام"
14190,334897,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",13.0,"لحوم البقر ، loin ، الشواء المتناقص ، الهزيل القابل للفصل فقط ، بلا عظم ، مقطوع إلى 0 ""الدهون ، حدد ، مطبوخ ، محمص"
14191,334898,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",13.0,"لحوم البقر ، جولة ، عين من المشوي الدائري ، العجاف القابلة للفصل فقط ، مقطوعة إلى 0 ""الدهون ، حدد ، الخام"
14256,334963,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",13.0,"لحوم البقر ، مستديرة ، شواء مستدير أعلى ، عظم القابل للفصل فقط ، مقطوع إلى 0 ""الدهون ، حدد ، الخام"
14354,335061,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",13.0,"لحوم البقر ، loin قصيرة ، شريحة لحم من العظم ، العظم ، العجاف القابلة للفصل فقط ، مقلدة إلى 1/8 ""الدهون ، الاختيار ، مطبوخ ، مشوي"
14402,335109,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",13.0,"لحوم البقر ، loin القصير ، شريحة لحم البورترهاوس ، الهزيل القابل للفصل فقط ، مقطوعة إلى 1/8 ""الدهون ، حدد ، الخام"
14533,335240,"Bread, whole-wheat, commercially prepared",18.0,الخبز ، القمح الكامل ، مستعدة تجاريا
15367,746764,"Carrots, frozen, unprepared",11.0,الجزر ، مجمدة ، غير مستعدة
15374,746771,"Oranges, raw, navels",9.0,البرتقال ، الخام ، البحرية
15376,746773,"Pears, raw, bartlett",9.0,الكمثرى ، الخام ، بارتليت
16032,747429,"Cheese, American, restaurant",1.0,الجبن ، أمريكي ، مطعم
16296,747693,"Ketchup, restaurant",11.0,الكاتشب ، مطعم
16600,747997,"Eggs, Grade A, Large, egg white",1.0,البيض ، الصف أ ، كبير ، بيض البيض
16839,748236,"Eggs, Grade A, Large, egg yolk",1.0,البيض ، الصف أ ، كبير صفار البيض
17570,748967,"Eggs, Grade A, Large, egg whole",1.0,البيض ، الصف أ ، كبير ، البيض كله
18142,789890,"Flour, wheat, all-purpose, enriched, bleached",20.0,الدقيق ، القمح ، متعدد الأغراض ، المخصب ، المبيضة
18203,789951,"Flour, wheat, all-purpose, enriched, unbleached",20.0,الدقيق ، القمح ، متعدد الأغراض ، المخصب ، غير المسبق
18270,790018,"Flour, wheat, all-purpose, unenriched, unbleached",20.0,الدقيق ، القمح ، متعدد الأغراض ، غير المخصب ، غير المخلل
18337,790085,"Flour, whole wheat, unenriched",20.0,الدقيق ، القمح الكامل ، غير المخصب
18398,790146,"Flour, bread, white, enriched, unbleached",20.0,الدقيق ، الخبز ، أبيض ، مخصب ، غير مبيد
18466,790214,"Flour, rice, white, unenriched",20.0,الدقيق ، الأرز ، أبيض ، غير مخصب
18528,790276,"Flour, corn, yellow, fine meal, enriched",20.0,الدقيق والذرة والأصفر ووجبة غرامة ، مخصبة
18829,790577,"Onions, red, raw",11.0,البصل ، الأحمر ، الخام
18898,790646,"Onions, yellow, raw",11.0,البصل ، الأصفر ، الخام
19026,790774,"Bananas, overripe, raw",9.0,الموز ، الناضج ، الخام
19243,790991,"Bananas, ripe and slightly ripe, raw",9.0,الموز ، الناضج والنضج قليلاً ، الخام
19298,1104647,"Garlic, raw",11.0,الثوم ، الخام
19356,1104705,"Flour, soy, defatted",16.0,دقيق ، فول الصويا ، defated
19417,1104766,"Flour, soy, full-fat",16.0,الدقيق ، فول الصويا ، الدسم الكامل
19456,1104812,"Flour, rice, brown",20.0,الدقيق ، الأرز ، بني
19511,1104867,"Flour, rice, glutinous",20.0,الدقيق ، الأرز ، الدبق
19557,1104913,"Flour, pastry, unenriched, unbleached",20.0,الدقيق ، المعجنات ، غير المخصصة ، غير المبيضة
19606,1104962,"Onions, white, raw",11.0,البصل ، الأبيض ، الخام
20074,1105430,"Apples, red delicious, with skin, raw",9.0,التفاح ، أحمر لذيذ ، مع الجلد ، الخام
20191,1105547,"Apples, honeycrisp, with skin, raw",9.0,التفاح ، العسل ، مع الجلد ، الخام
20308,1105664,"Apples, granny smith, with skin, raw",9.0,التفاح ، الجدة سميث ، مع الجلد ، الخام
20425,1105781,"Apples, gala, with skin, raw",9.0,التفاح ، الحفل ، مع الجلد ، الخام
20540,1105897,"Apples, fuji, with skin, raw",9.0,التفاح ، فوجي ، مع الجلد ، الخام
20541,1750337,"Soy milk, unsweetened, plain, shelf stable",16.0,حليب الصويا ، غير المحلى ، سهل ، رف مستقر
20542,1750338,"Almond milk, unsweetened, plain, shelf stable",14.0,حليب اللوز ، غير محلى ، سهل ، رف مستقر
20548,1750344,"Mushroom, lion's mane",11.0,الفطر ، ماني الأسد
20549,1750345,"Mushroom, oyster",11.0,الفطر ، المحار
20550,1750346,"Mushrooms, shiitake",11.0,الفطر ، زر أبيض
20551,1750347,"Mushrooms, white button",11.0,الفطر ، زر أبيض
20556,1750352,"Spinach, baby",11.0,السبانخ ، حبيبي
20557,1750353,"Spinach, mature",11.0,السبانخ ، ناضجة
20558,1750354,"Tomato, roma",11.0,الطماطم ، روما
31520,2003586,"Flour, 00",20.0,الدقيق ، 00
31521,2003587,"Flour, spelt, whole grain",20.0,الدقيق ، ملجأ ، حبة كاملة
31522,2003588,"Flour, semolina, coarse and semi-coarse",20.0,الدقيق ، السميد ، الخشنة وشبه الكرز
31523,2003589,"Flour, semolina, fine",20.0,دقيق ، سميد ، بخير
31524,2003590,"Apple juice, with added vitamin C, from concentrate, shelf stable",9.0,عصير التفاح ، مع فيتامين C المضافة ، من التركيز ، الرف مستقر
31525,2003591,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",9.0,عصير البرتقال ، لا لب ، غير محصن ، من التركيز ، مبرد
31526,2003592,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",9.0,عصير العنب ، الأرجواني ، مع فيتامين C المضافة ، من التركيز ، الرف مستقر
31527,2003593,"Grape juice, white, with added vitamin C, from concentrate, shelf stable",9.0,عصير العنب ، الأبيض ، مع فيتامين C المضافة ، من التركيز ، الرف مستقر
31528,2003594,"Cranberry juice, not fortified, from concentrate, shelf stable",9.0,عصير التوت البري ، غير محصن ، من التركيز ، الرف مستقر
31529,2003595,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",9.0,عصير الجريب فروت ، أحمر ، غير محصن ، وليس من التركيز ، مبرد
31530,2003596,"Tomato juice, with added ingredients, from concentrate, shelf stable",11.0,عصير الطماطم ، مع مكونات إضافية ، من التركيز ، الرف مستقر
31531,2003597,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",9.0,عصير البرتقال ، لا لب ، غير محصن ، وليس من التركيز ، مبرد
31532,2003598,"Mushroom, portabella",11.0,الفطر ، بورتابيلا
31533,2003599,"Mushroom, king oyster",11.0,الفطر ، الملك أويستر
31534,2003600,"Mushroom, enoki",11.0,الفطر ، enoki
31535,2003601,"Mushroom, crimini",11.0,فطر ، مجرم
31536,2003602,"Mushroom, maitake",11.0,الفطر ، مايتاكي
31537,2003603,"Mushroom, beech",11.0,الفطر ، الزان
31538,2003604,"Mushroom, pioppini",11.0,الفطر ، بيوبني
35346,2257044,"Soy milk, sweetened, plain, refrigerated",16.0,حليب الصويا ، المحلى ، عادي ، مبرد
35347,2257045,"Almond milk, unsweetened, plain, refrigerated",14.0,حليب اللوز ، غير محلى ، سهل ، مبرد
35348,2257046,"Oat milk, unsweetened, plain, refrigerated",14.0,حليب الشوفان ، غير محلى ، سهل ، مبرد
36887,2258586,"Carrots, mature, raw",11.0,الجزر ، الناضجة ، الخام
36888,2258587,"Carrots, baby, raw",11.0,الجزر ، طفل ، الخام
36889,2258588,"Peppers, bell, green, raw",11.0,الفلفل ، الجرس ، الأخضر ، الخام
36890,2258589,"Peppers, bell, yellow, raw",11.0,الفلفل ، الجرس ، الأصفر ، الخام
36891,2258590,"Peppers, bell, red, raw",11.0,الفلفل ، الجرس ، الأحمر ، الخام
36892,2258591,"Peppers, bell, orange, raw",11.0,الفلفل ، الجرس ، البرتقالي ، الخام
38092,2259792,"Buttermilk, low fat",1.0,اللبن ، الدهون المنخفضة
38093,2259793,"Yogurt, plain, whole milk",1.0,الزبادي ، سهل ، حليب كامل
38094,2259794,"Yogurt, Greek, plain, whole milk",1.0,الزبادي ، اليونانية ، السهلة ، الحليب كامل
38095,2259795,"Cheese, parmesan, grated, refrigerated",1.0,الجبن ، البارميزان ، مبشور ، مبرد
38096,2259796,"Cheese, feta, whole milk, crumbled",1.0,الجبن ، الفيتا ، حليب كامل
39719,2261420,"Flour, almond",12.0,دقيق ، اللوز
39720,2261421,"Flour, oat, whole grain",20.0,الدقيق ، الشوفان ، الحبوب الكاملة
39721,2261422,"Flour, potato",11.0,دقيق ، البطاطس
40370,2262072,"Peanut butter, creamy",16.0,زبدة الفول السوداني ، دسم
40371,2262073,"Sesame butter, creamy",12.0,زبدة السمسم ، دسم
40372,2262074,"Almond butter, creamy",12.0,زبدة اللوز ، دسم
40373,2262075,"Flaxseed, ground",12.0,بذور الكتان ، الأرض
42185,2263888,"Raspberries, raw",9.0,التوت ، الخام
42186,2263889,"Blueberries, raw",9.0,العنب ، الأحمر ، بدون بذور ، الخام
42187,2263890,"Grapes, red, seedless, raw",9.0,العنب ، الأحمر ، بدون بذور ، الخام
42188,2263891,"Grapes, green, seedless, raw",9.0,العنب ، الأخضر ، بدون بذور ، الخام
42189,2263892,"Applesauce, unsweetened, with added vitamin C",9.0,التفاح ، غير المحلى ، مع فيتامين C المضافة
43414,2346384,"Cottage cheese, full fat, large or small curd",1.0,الجبن المنزلية ، الدهون الكاملة ، الخثارة الكبيرة أو الصغيرة
43415,2346385,"Cream cheese, full fat, block",1.0,جبن كريم ، سمين كامل ، كتلة
43416,2346386,"Cream, heavy",1.0,كريم ، ثقيل
43417,2346387,"Cream, sour, full fat",1.0,كريم ، حامض ، الدهون الكاملة
43418,2346388,"Lettuce, iceberg, raw",11.0,الخس ، جبل الجليد ، الخام
43419,2346389,"Lettuce, romaine, green, raw",11.0,الخس ، رومان ، الأخضر ، الخام
43420,2346390,"Lettuce, leaf, red, raw",11.0,الخس ، الورقة ، الأحمر ، الخام
43421,2346391,"Lettuce, leaf, green, raw",11.0,الخس ، الورقة ، الأخضر ، الخام
43422,2346392,"Nuts, pine nuts, raw",12.0,المكسرات ، صواني الصنوبر ، الخام
43423,2346393,"Nuts, almonds, whole, raw",12.0,المكسرات ، اللوز ، كله ، الخام
43424,2346394,"Nuts, walnuts, English, halves, raw",12.0,المكسرات ، الجوز ، اللغة الإنجليزية ، نصفي ، الخام
43425,2346395,"Nuts, pecans, halves, raw",12.0,المكسرات ، البقان ، نصفي ، الخام
43426,2346396,"Oats, whole grain, rolled, old fashioned",20.0,الشوفان ، الحبوب الكاملة ، مدفوعة ، قديمة الطراز
43427,2346397,"Oats, whole grain, steel cut",20.0,الشوفان والحبوب الكاملة وقطع الصلب
43428,2346398,"Pineapple, raw",9.0,الأناناس ، الخام
43429,2346399,"Cherries, sweet, dark red, raw",9.0,الكرز ، الحلو ، الأحمر الداكن ، الخام
43430,2346400,"Beans, snap, green, raw",11.0,الفاصوليا ، المفاجئة ، الأخضر ، الخام
43431,2346401,"Potatoes, russet, without skin, raw",11.0,البطاطا ، روسيت ، بدون جلد ، الخام
43432,2346402,"Potatoes, red, without skin, raw",11.0,البطاطا ، الأحمر ، بدون جلد ، الخام
43433,2346403,"Potatoes, gold, without skin, raw",11.0,البطاطا ، الذهب ، بدون جلد ، الخام
43434,2346404,"Sweet potatoes, orange flesh, without skin, raw",11.0,البطاطا الحلوة ، اللحم البرتقالي ، بدون جلد ، الخام
43435,2346405,"Celery, raw",11.0,الكرفس ، الخام
43436,2346406,"Cucumber, with peel, raw",11.0,الخيار ، مع قشر ، الخام
43437,2346407,"Cabbage, green, raw",11.0,الملفوف ، الأخضر ، الخام
43438,2346408,"Cabbage, red, raw",11.0,الملفوف ، الأحمر ، الخام
50582,2512371,"Flour, amaranth",20.0,دقيق ، أمارانث
50583,2512372,"Flour, quinoa",20.0,الدقيق ، الكينوا
50584,2512373,"Flour, sorghum",20.0,الدقيق ، الذرة الرفيعة
50585,2512374,"Flour, buckwheat",20.0,الدقيق ، الحنطة السوداء
50586,2512375,"Flour, rye",20.0,الدقيق ، الجاودار
50587,2512376,"Flour, barley",20.0,دقيق ، الشعير
50588,2512377,"Flour, cassava",11.0,الدقيق ، الكسافا
50589,2512378,"Buckwheat, whole grain",20.0,الحنطة السوداء ، حبة كاملة
50590,2512379,"Millet, whole grain",20.0,الدخن ، الحبوب الكاملة
50591,2512380,"Rice, brown, long grain, unenriched, raw",20.0,الأرز ، البني ، الحبوب الطويلة ، غير المخصصة ، الخام
50592,2512381,"Rice, white, long grain, unenriched, raw",20.0,الأرز ، الأبيض ، الحبوب الطويلة ، غير المخصصة ، الخام
52953,2514743,"Beef, ground, 90% lean meat / 10% fat, raw",13.0,لحوم البقر ، الأرض ، 90 ٪ من اللحم الخفيف / 10 ٪ من الدهون ، الخام
52954,2514744,"Beef, ground, 80% lean meat / 20% fat, raw",13.0,لحوم البقر ، الأرض ، 80 ٪ من اللحم النحيف / 20 ٪ من الدهون ، الخام
52956,2514746,"Chicken, ground, with additives, raw",5.0,الدجاج ، الأرض ، مع إضافات ، الخام
52957,2514747,"Turkey, ground, 93% lean/ 7% fat, raw",5.0,تركيا ، الأرض ، 93 ٪ Lean/ 7 ٪ الدهون ، الخام
53582,2515373,"Nuts, brazilnuts, raw",12.0,المكسرات ، البرازيل ، الخام
53583,2515374,"Nuts, cashew nuts, raw",12.0,المكسرات ، الكاجو ، الخام
53584,2515375,"Nuts, hazelnuts or filberts, raw",12.0,المكسرات ، البندق أو filberts ، الخام
53585,2515376,"Peanuts, raw",16.0,الفول السوداني ، الخام
53586,2515377,"Flour, chestnut",12.0,الدقيق ، الكستناء
53587,2515378,"Nuts, macadamia nuts, raw",12.0,المكسرات ، المكاديميا المكسرات ، الخام
53588,2515379,"Nuts, pistachio nuts, raw",12.0,المكسرات ، الفستق المكسرات ، الخام
53589,2515380,"Seeds, pumpkin seeds (pepitas), raw",12.0,البذور ، بذور اليقطين (بيبيتاس) ، الخام
53590,2515381,"Seeds, sunflower seed, kernel, raw",12.0,البذور ، بذور عباد الشمس ، نواة ، الخام
53591,2515382,"Flour, coconut",12.0,دقيق ، جوز الهند
55842,2644281,"Beans, cannellini, dry",16.0,الفاصوليا ، كانيليني ، جافة
55843,2644282,"Chickpeas, (garbanzo beans, bengal gram), dry",16.0,الحمص ، (حبوب غاربانزو ، البنغال غرام) ، جاف
55844,2644283,"Lentils, dry",16.0,العدس ، جاف
55845,2644284,"Blackeye pea, dry",16.0,بلاكاي البازلاء ، جافة
55846,2644285,"Beans, black, canned, sodium added, drained and rinsed",16.0,الفاصوليا ، الأسود ، المعلبة ، إضافة الصوديوم ، استنزاف وشطف
55847,2644286,"Beans, navy, canned, sodium added, drained and rinsed",16.0,الفاصوليا ، كانيليني ، المعلبة ، إضافة الصوديوم ، استنزاف وشطف
55848,2644287,"Beans, cannellini, canned, sodium added, drained and rinsed",16.0,الفاصوليا ، كانيليني ، المعلبة ، إضافة الصوديوم ، استنزاف وشطف
55849,2644288,"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",16.0,الحمص (حبوب غاربانزو ، غرام البنغال) ، المعلبة ، الصوديوم المضافة ، استنزاف وشطف
55850,2644289,"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",16.0,الفاصوليا والكلى والأحمر الداكن والمعلبة ، وأضاف الصوديوم ، وأضاف السكر ، واستنزاف وشطف
55851,2644290,"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",16.0,الفاصوليا والكلى والأحمر الفاتح والمعلبة والمضافة الصوديوم ، وأضاف السكر ، واستنزاف وشطف
55852,2644291,"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",11.0,البازلاء ، الأخضر ، الحلو ، المعلب ، الصوديوم المضافة ، إضافة السكر ، استنزاف وشطف
55853,2644292,"Beans, pinto, canned, sodium added, drained and rinsed",16.0,الفاصوليا ، بينتو ، المعلبة ، إضافة الصوديوم ، استنزاف وشطف
55854,2644293,"Blackeye pea, canned, sodium added, drained and rinsed",16.0,Blackeye Pea و Canned و Sodium المضافة والمستنزف وشطفه
55855,2644294,"Beans, great northern, canned, sodium added, drained and rinsed",16.0,الفاصوليا ، الشمال العظيم ، المعلب ، وأضاف الصوديوم ، واستنزاف وشطف
57730,2646170,"Chicken, breast, boneless, skinless, raw",5.0,الدجاج ، الثدي ، بلا عابرة ، بلا جلد ، خام
57731,2646171,"Chicken, thigh, boneless, skinless, raw",5.0,الدجاج ، الفخذ ، عظم ، بلا جلد ، خام
57732,2646172,"Beef, ribeye, steak, boneless, choice, raw",13.0,لحوم البقر ، Ribeye ، شريحة لحم ، عظم ، الاختيار ، الخام
57733,2646173,"Beef, round, top round, boneless, choice, raw",13.0,لحوم البقر ، جولة ، جولة أعلى ، عظم ، الاختيار ، الخام
57734,2646174,"Beef, chuck, roast, boneless, choice, raw",13.0,لحوم البقر ، تشاك ، مشوي ، عظم ، الاختيار ، الخام
57735,2646175,"Beef, flank, steak, boneless, choice, raw",13.0,لحوم البقر ، الجناح ، شريحة لحم ، عظم ، الاختيار ، الخام
58996,2647437,"Yogurt, plain, nonfat",1.0,الزبادي ، عادي ، غير دهن
58997,2647438,"Cheese, monterey jack, solid",1.0,الجبن ، مونتيري جاك ، صلبة
58998,2647439,"Cheese, pasteurized process cheese food or product, American, singles",1.0,الجبن ، البسترة العملية طعام الجبن أو المنتج ، الأمريكي ، الفردي
58999,2647440,"Cheese, provolone, sliced",1.0,الجبن ، بروفولون ، شرائح
59000,2647441,"Cheese, oaxaca, solid",1.0,الجبن ، أواكساكا ، صلبة
59001,2647442,"Cheese, queso fresco, solid",1.0,الجبن ، فريسكو queso ، صلبة
59002,2647443,"Cheese, cotija, solid",1.0,الجبن ، كوتيجا ، صلبة
60654,2684440,"Fish, salmon, sockeye, wild caught, raw",15.0,الأسماك ، سمك السلمون ، sockeye ، wild ، الخام ، الخام
60655,2684441,"Fish, salmon, Atlantic, farm raised, raw",15.0,الأسماك ، سمك السلمون ، المحيط الأطلسي ، المزرعة التي تربى ، الخام
60656,2684442,"Fish, tilapia, farm raised, raw",15.0,الأسماك ، البلطي ، تربية المزرعة ، الخام
60657,2684443,"Crustaceans, shrimp, farm raised, raw",15.0,القشريات ، الروبيان ، المزرعة التي تربى ، الخام
60658,2684444,"Fish, cod, Atlantic, wild caught, raw",15.0,الأسماك ، سمك القد ، المحيط الأطلسي ، القبض على البرية ، الخام
60659,2684445,"Fish, catfish, farm raised, raw",15.0,السمك ، سمك السلور ، المزرعة مرفوعة ، الخام
60660,2684446,"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",15.0,القشريات ، السلطعون ، السباحة الأزرق ، كتلة ، مبستر ، مبردة
61781,2685568,"Squash, summer, green, zucchini, includes skin, raw",11.0,الاسكواش ، الصيف ، الأخضر ، الكوسة ، تشمل الجلد ، الخام
61782,2685569,"Squash, summer, yellow, includes skin, raw",11.0,الاسكواش ، الصيف ، الأصفر ، يشمل الجلد ، الخام
61783,2685570,"Squash, winter, butternut, raw",11.0,الاسكواش ، الشتاء ، الجوز ، الخام
61784,2685571,"Squash, winter, acorn, raw",11.0,الاسكواش ، الشتاء ، الجزور ، الخام
61785,2685572,"Cabbage, bok choy, raw",11.0,الملفوف ، بوك تشوي ، الخام
61786,2685573,"Cauliflower, raw",11.0,القرنبيط ، الخام
